Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty
EUF,AC LD 40,Depreciation,2025-11,0.0,0.0
EUF,AC LD 40,Depreciation,2025-12,0.0,0.0
EUF,AC LD 40,Depreciation,2026-01,0.0042,350000.0
EUF,AC LD 40,Depreciation,2026-02,0.0,0.0
EUF,AC LD 40,Depreciation,2026-03,0.0,0.0
EUF,AC LD 40,Depreciation,2026-04,0.0,0.0
EUF,AC LD 40,Depreciation,2026-05,0.0,0.0
EUF,AC LD 40,Depreciation,2026-06,0.0,0.0
EUF,AC LD 40,Depreciation,2026-07,0.0,0.0
EUF,AC LD 40,Depreciation,2026-08,0.0,0.0
EUF,AC LD 40,Depreciation,2026-09,0.0,0.0
EUF,AC LD 40,Depreciation,2026-10,0.0,0.0
EUF,AC LD 40,Depreciation,2026-11,0.0,0.0
EUF,AC LD 40,Depreciation,2026-12,0.0,0.0
EUF,AC LD 40,Electricity,2025-11,0.0,0.0
EUF,AC LD 40,Electricity,2025-12,0.0,0.0
EUF,AC LD 40,Electricity,2026-01,0.0134,350000.0
EUF,AC LD 40,Electricity,2026-02,0.0,0.0
EUF,AC LD 40,Electricity,2026-03,0.0,0.0
EUF,AC LD 40,Electricity,2026-04,0.0,0.0
EUF,AC LD 40,Electricity,2026-05,0.0,0.0
EUF,AC LD 40,Electricity,2026-06,0.0,0.0
EUF,AC LD 40,Electricity,2026-07,0.0,0.0
EUF,AC LD 40,Electricity,2026-08,0.0,0.0
EUF,AC LD 40,Electricity,2026-09,0.0,0.0
EUF,AC LD 40,Electricity,2026-10,0.0,0.0
EUF,AC LD 40,Electricity,2026-11,0.0,0.0
EUF,AC LD 40,Electricity,2026-12,0.0,0.0
EUF,AC LD 40,Gas,2025-11,0.0,0.0
EUF,AC LD 40,Gas,2025-12,0.0,0.0
EUF,AC LD 40,Gas,2026-01,0.0245,350000.0
EUF,AC LD 40,Gas,2026-02,0.0,0.0
EUF,AC LD 40,Gas,2026-03,0.0,0.0
EUF,AC LD 40,Gas,2026-04,0.0,0.0
EUF,AC LD 40,Gas,2026-05,0.0,0.0
EUF,AC LD 40,Gas,2026-06,0.0,0.0
EUF,AC LD 40,Gas,2026-07,0.0,0.0
EUF,AC LD 40,Gas,2026-08,0.0,0.0
EUF,AC LD 40,Gas,2026-09,0.0,0.0
EUF,AC LD 40,Gas,2026-10,0.0,0.0
EUF,AC LD 40,Gas,2026-11,0.0,0.0
EUF,AC LD 40,Gas,2026-12,0.0,0.0
EUF,AC LD 40,Indirect Labor,2025-11,0.0,0.0
EUF,AC LD 40,Indirect Labor,2025-12,0.0,0.0
EUF,AC LD 40,Indirect Labor,2026-01,0.0153,350000.0
EUF,AC LD 40,Indirect Labor,2026-02,0.0,0.0
EUF,AC LD 40,Indirect Labor,2026-03,0.0,0.0
