PlantProductMesh,MembrainProductMesh,PeriodKey,QTY
ACCUCAST HT 50,ACCUCAST HT 50,2026-01,42991
ACCUCAST HT 70,ACCUCAST HT 70,2026-01,6400
ACCUCAST HT 80,"ACCUCAST HT 80, ACCUCAST HT 70",2026-01,86500
ACCUCAST ID 40,ACCUCAST ID 40,2026-01,180000
ACCUCAST ID 50,ACCUCAST ID 50,2026-01,732067
ACCUCAST ID 70,ACCUCAST ID 70,2026-01,54400
ACCUCAST ID 80,ACCUCAST ID 80,2026-01,328001
ACCUCAST LD 40,ACCUCAST LD 30,2026-01,180000
ACCUCAST LD 40,ACCUCAST LD 40,2026-01,41600
BAUXITE PELLET,CARBOBEAD-CP 12/18,2026-01,41600
BAUXITE PELLET,CARBOBEAD-CP 20/40,2026-01,48000
BAUXITE PELLET,CARBOBEAD-CP 40/140,2026-01,25600
BAUXITE PELLET,CARBOBEAD-LT 12/18,2026-01,24800
CARBOBOND LITE 20/40,CARBOBOND LITE 20/40,2026-01,179200
CARBOGRIND 260-010,CARBOGRIND 260-010,2026-01,166400
CARBOGRIND 260-010,CARBOGRIND 260-020,2026-01,48816
CARBOGRIND 260-010,CARBOGRIND 260-030,2026-01,39644
CARBO ISP 20/40,CARBOISP LITE 40/70,2026-01,16200000
CARBO LITE 16/20,CARBOLITE 16/20,2026-01,313600
CARBO LITE 20/40,CARBOLITE 20/40,2026-01,1630400
CARBO LITE 40/60,CARBOLITE 40/70,2026-01,7638672
ULTRALITE - GUARD 20/40,CARBOSCALEGUARD II 40/70,2026-01,1909667
CARBO LITE 16/20,CL 16/20,2026-01,9833333
CARBOGRIND 280-030,CSCARBOGRIND XT 360-300,2026-01,4389
CARBOGRIND 280-030,CSCARBOGRIND ZIRPLUS 360-025,2026-01,4410
BAUXITE PELLET,"FUSION CARBOLITE, FUSION ACTIVATOR 20/40",2026-01,89800
HA PELLETS AG GRADE 1804,HA PELLETS,2026-01,750000
NANOMITE EXPRESS,NANOMITE Express 40/70,2026-01,2119078
BAUXITE PELLET,OPTICAST 140,2026-01,109000
ULTRALITE - GUARD 16/20,SCALEGUARD,2026-01,90000
BAUXITE PELLET,UltraFill Coolscape,2026-01,476800
ACCUCAST HT 50,ACCUCAST HT 50,2026-02,42991
ACCUCAST HT 80,ACCUCAST HT 80,2026-02,91000
ACCUCAST HT 80,"ACCUCAST HT 80, ACCUCAST HT 70",2026-02,86500
ACCUCAST ID 40,ACCUCAST ID 40,2026-02,25600
ACCUCAST ID 50,ACCUCAST ID 50,2026-02,1119667
ACCUCAST ID 50,"ACCUCAST ID 50, ACCUCAST ID 70",2026-02,41600
ACCUCAST ID 70,ACCUCAST ID 70,2026-02,54400
ACCUCAST ID 80,ACCUCAST ID 80,2026-02,280000
ACCUCAST ID 80,"ACCUCAST ID 80, ACCUCAST ID 50",2026-02,51200
ACCUCAST ID 80,"ACCUCAST ID 80, ACCUCAST LD 40",2026-02,9600
ACCUCAST LD 40,ACCUCAST LD 30,2026-02,41600
ACCUCAST LD 40,ACCUCAST LD 40,2026-02,500
BAUXITE PELLET,CARBOBEAD SCOUR 16/20,2026-02,648000
BAUXITE PELLET,CARBOBEAD-CP 20/40,2026-02,2200
BAUXITE PELLET,"CARBOBEAD-HSP 16/30, CARBOBEAD-HSP 40/70",2026-02,12800
BAUXITE PELLET,CARBOBEAD-LT 12/18,2026-02,2000
BAUXITE PELLET,CARBOBEAD-LT 20/40,2026-02,32000
BAUXITE PELLET,CARBOBEAD-LT 40/60,2026-02,35000
BAUXITE PELLET,CARBOBEAD-LT 5/8,2026-02,3200
KRYPTOSPHERE HD (H) 25,CARBOBOND KRYPTOSPHERE XT 25,2026-02,3600000
CARBOBOND LITE 20/40,CARBOBOND LITE 16/20,2026-02,1523920
CARBOGRIND 260-010,CARBOGRIND 260-010,2026-02,204083
CARBOGRIND 260-010,CARBOGRIND 260-015,2026-02,144857
CARBOGRIND 280-030,CARBOGRIND 280-030,2026-02,87769
CARBO LITE 20/40,CARBOLITE 20/40,2026-02,1920000
CARBO LITE 40/60,CARBOLITE 30/50,2026-02,500000
CARBO LITE 16/20,CL 16/20,2026-02,9833333
CARBOGRIND 280-030,CS CARBOGRIND XT 360 100,2026-02,220
CARBOGRIND 280-030,CSCARBOGRIND CT,2026-02,43779
CARBOGRIND 280-030,CSCARBOGRIND NANO 370-018,2026-02,110
CARBOGRIND 280-030,CSCARBOGRIND XT 360-300,2026-02,50990
BAUXITE PELLET,"FUSION CARBOLITE, FUSION ACTIVATOR 20/40",2026-02,89800
HA PELLETS AG GRADE 1804,HA PELLETS,2026-02,750000
NANOMITE EXPRESS,NANOMITE Express 325,2026-02,44800
BAUXITE PELLET,NITREA NU,2026-02,265
BAUXITE PELLET,OPTICAST 140,2026-02,68000
ULTRALITE - GUARD 16/20,SCALEGUARD,2026-02,90000
ULTRALITE - GUARD 16/20,SCALEGUARD 16/20,2026-02,48480
ULTRALITE - GUARD 20/40,SCALEGUARD 20/40,2026-02,110400
BAUXITE PELLET,UltraFill Coolscape,2026-02,476800
ACCUCAST HT 50,ACCUCAST HT 50,2026-03,42991
ACCUCAST HT 80,ACCUCAST HT 80,2026-03,32000
ACCUCAST HT 80,"ACCUCAST HT 80, ACCUCAST HT 70",2026-03,86500
ACCUCAST HT 80,"ACCUCAST HT 80, OPTICAST 140",2026-03,68600
ACCUCAST ID 50,ACCUCAST ID 50,2026-03,1173667
ACCUCAST ID 50,"ACCUCAST ID 50, Other",2026-03,16001
ACCUCAST ID 60,ACCUCAST ID 60,2026-03,41600
ACCUCAST ID 70,"ACCUCAST ID 70, Resin-Coated HT70",2026-03,96000
ACCUCAST ID 80,ACCUCAST ID 80,2026-03,321600
BAUXITE PELLET,CARBOBEAD-CP 12/18,2026-03,41600
BAUXITE PELLET,CARBOBEAD-CP 20/40,2026-03,48000
BAUXITE PELLET,CARBOBEAD-HSP 6/12,2026-03,1100
BAUXITE PELLET,CARBOBEAD-LT 12/18,2026-03,16000
BAUXITE PELLET,CARBOBEAD-LT 16/30,2026-03,3200
BAUXITE PELLET,"CARBOBEAD-LT 16/30, CARBOBEAD-LT 8/14",2026-03,19200
CARBOBOND LITE 20/40,CARBOBOND LITE 20/40,2026-03,600000
CARBOGRIND 260-010,CARBOGRIND 260-010,2026-03,128124
CARBOGRIND 260-010,CARBOGRIND 260-030,2026-03,39644
CARBOGRIND 280-030,CARBOGRIND 280-030,2026-03,441270
CARBO LITE 16/30,CARBOLITE 16/30,2026-03,89600
CARBO LITE 20/40,CARBOLITE 20/40,2026-03,179200
CARBO LITE 16/20,CL 16/20,2026-03,9833333
CARBOGRIND 280-030,CSCARBOGRIND CT,2026-03,78458
CARBOGRIND 280-030,CSCARBOGRIND XT 360-300,2026-03,21312
CARBOGRIND 280-030,CSCARBOGRIND XT 360-400,2026-03,18044
ECONO PROP 20/40,ECONOPROP 30/50,2026-03,224000
BAUXITE PELLET,"FUSION CARBOLITE, ARCTICBOND ACTIVATOR 20/40",2026-03,89750
BAUXITE PELLET,"FUSION CARBOLITE, FUSION ACTIVATOR 20/40",2026-03,44900
HA PELLETS AG GRADE 1804,HA PELLETS,2026-03,750000
KRYPTOSPHERE HD (H) 25,KRYPTOSPHERE HD 25,2026-03,3500000
BAUXITE PELLET,"NITREA NU, NITREA PLUS",2026-03,895
BAUXITE PELLET,OPTICAST 140,2026-03,41000
ULTRALITE - GUARD 16/20,SCALEGUARD,2026-03,90000
BAUXITE PELLET,UltraFill Coolscape,2026-03,476800
ACCUCAST HT 50,ACCUCAST HT 50,2026-04,42991
ACCUCAST HT 70,ACCUCAST HT 70,2026-04,6400
ACCUCAST HT 80,ACCUCAST HT 80,2026-04,91000
ACCUCAST HT 80,"ACCUCAST HT 80, ACCUCAST HT 70",2026-04,86500
ACCUCAST ID 50,ACCUCAST ID 50,2026-04,712867
ACCUCAST ID 50,"ACCUCAST ID 50, ACCUCAST ID 70",2026-04,83200
ACCUCAST ID 70,ACCUCAST ID 70,2026-04,54400
ACCUCAST ID 80,ACCUCAST ID 80,2026-04,328001
ACCUCAST LD 40,ACCUCAST LD 40,2026-04,42100
BAUXITE PELLET,CARBOBEAD-CP 12/18,2026-04,105600
BAUXITE PELLET,"CARBOBEAD-CP 20/40, CARBOBEAD-HSP 6/12",2026-04,19200
BAUXITE PELLET,CARBOBEAD-CP 40/140,2026-04,25600
BAUXITE PELLET,"CARBOBEAD-HSP 16/30, CARBOBEAD-HSP 40/70",2026-04,12800
BAUXITE PELLET,CARBOBEAD-LT 12/18,2026-04,12000
BAUXITE PELLET,CARBOBEAD-LT 40/60,2026-04,35000
CARBOBOND LITE 20/40,CARBOBOND LITE 16/20,2026-04,940800
CARBOGRIND 260-010,CARBOGRIND 260-010,2026-04,313913
CARBOGRIND 260-010,CARBOGRIND 260-030,2026-04,39644
CARBOGRIND 280-030,CARBOGRIND 280-030,2026-04,313899
CARBO LITE 16/20,CARBOLITE 16/20,2026-04,134400
CARBO LITE 20/40,CARBOLITE 20/40,2026-04,268800
CARBO LITE 40/60,CARBOLITE 30/50,2026-04,179200
CARBO LITE 40/60,CARBOLITE 40/70,2026-04,537600
CARBO LITE 16/20,CL 16/20,2026-04,9833333
CARBOGRIND 280-030,CS CARBOGRIND XT 360 100,2026-04,220
CARBOGRIND 280-030,CSCARBOGRIND CT,2026-04,44092
CARBOGRIND 280-030,CSCARBOGRIND XT 360-300,2026-04,105522
BAUXITE PELLET,"FUSION CARBOLITE, FUSION ACTIVATOR 16/20",2026-04,89800
BAUXITE PELLET,"FUSION CARBOLITE, FUSION ACTIVATOR 20/40",2026-04,44900
HA PELLETS AG GRADE 1804,HA PELLETS,2026-04,750000
BAUXITE PELLET,NITREA NU,2026-04,265
BAUXITE PELLET,"NITREA NU, NITREA PLUS",2026-04,1160
BAUXITE PELLET,OPTICAST 140,2026-04,150000
ULTRALITE - GUARD 16/20,SCALEGUARD,2026-04,90000
BAUXITE PELLET,UltraFill Coolscape,2026-04,476800
ACCUCAST HT 50,ACCUCAST HT 50,2026-05,42991
ACCUCAST HT 80,"ACCUCAST HT 80, ACCUCAST HT 70",2026-05,86500
ACCUCAST ID 40,ACCUCAST ID 40,2026-05,205600
ACCUCAST ID 50,ACCUCAST ID 50,2026-05,1128867
ACCUCAST ID 70,ACCUCAST ID 70,2026-05,54400
